season,league,player_id,player_name,age,team,fixture_id,fixture_date,injury_reason
2020,Premier League,19025,T. Cairney,,Fulham,592799,2021-04-09T19:00:00+00:00,Knee Injury
2020,Premier League,19657,M. Rodak,,Fulham,592799,2021-04-09T19:00:00+00:00,Finger Injury
2020,Premier League,18739,W. Boly,,Wolves,592799,2021-04-09T19:00:00+00:00,Illness
2020,Premier League,2887,R. Jimenez,,Wolves,592799,2021-04-09T19:00:00+00:00,Concussion
2020,Premier League,18740,Jonny,,Wolves,592799,2021-04-09T19:00:00+00:00,Knee Injury
2020,Premier League,652,F. Marcal,,Wolves,592799,2021-04-09T19:00:00+00:00,Groin Injury
2020,Premier League,2677,J. Moutinho,,Wolves,592799,2021-04-09T19:00:00+00:00,Groin Injury
2020,Premier League,19127,A. Forshaw,,Leeds,592801,2021-04-10T11:30:00+00:00,Groin Injury
2020,Premier League,19128,J. Harrison,,Leeds,592801,2021-04-10T11:30:00+00:00,Loan agreement
2020,Premier League,284,J. Gomez,,Liverpool,592800,2021-04-10T14:00:00+00:00,Knee Injury
2020,Premier League,292,J. Henderson,,Liverpool,592800,2021-04-10T14:00:00+00:00,Groin Injury
2020,Premier League,293,C. Jones,,Liverpool,592800,2021-04-10T14:00:00+00:00,Muscle Injury
2020,Premier League,281,C. Kelleher,,Liverpool,592800,2021-04-10T14:00:00+00:00,Abdominal strain
2020,Premier League,286,J. Matip,,Liverpool,592800,2021-04-10T14:00:00+00:00,Ankle Injury
2020,Premier League,305,D. Origi,,Liverpool,592800,2021-04-10T14:00:00+00:00,Muscle Injury
2020,Premier League,290,V. van Dijk,,Liverpool,592800,2021-04-10T14:00:00+00:00,Knee Injury
2020,Premier League,19187,J. Grealish,,Aston Villa,592800,2021-04-10T14:00:00+00:00,Shin Injury
2020,Premier League,84,Wesley,,Aston Villa,592800,2021-04-10T14:00:00+00:00,Knee Injury
2020,Premier League,2927,M. Batshuayi,,Crystal Palace,592798,2021-04-10T16:30:00+00:00,Loan agreement
